Ngram,LowerCVF,UpperCVF
"^[^Rest]_1, 4_1, 3_1, 2_1, 3_-3, 6",,
"-4_-2, -3_2, -6",C,u
"-4_-2, -3_-2, -2_3, -6",C,u
"-4_-2, -3_1, -3_-2, -2_3, -6",C,u
"-4_-2, -3_-2, -2_2, -3_2, -6",C,u
"3_2, 2_1, 8_5, 5",P,C
"3_2, 2_1, 8_-4, 5",P,C
"3_2, 2_1, 1_-4, 5",P,C
"2_1, 8_1, 8_5, 5",P,C
"2_1, 8_1, 8_-4, 5",P,C
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_-5, 3",B,c
"^(Rest_1|4_1|[\-]?._[\-]?[^1]), 4_1, 3_4, 3",B,c
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_-2, 3",T,c
"^[^Rest]_1, 7_1, 6_-2, 3",,
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_-5, 4",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_4, 4",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_-5, 4",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), 7_1, 6_1, 6_4, 4",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_-5, 4",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), -2_1, -3_4, -5",Q,C
"^(Rest_1|[\-]?._[\-]?[^1]), 2_1, 8_-2, 3",s,
"^(Rest_1|[\-]?._[\-]?[^1]), 2_1, 8_-3, 4",S,C
"^(Rest_1|[\-]?._[\-]?[^1]), 2_1, 1_-3, 4",S,C
"^(Rest_1|[\-]?._[\-]?[^1]), 2_1, 8_1, 8_-3, 4",S,C
"^(Rest_1|[\-]?._[\-]?[^1]), 2_1, 1_1, 1_-3, 4",S,C
"^[^Rest]_1, 2_1, 8_-3, 4",,
"^[^Rest]_1, 2_1, 1_-3, 4",,
